Date_Start_Date,Project_Cost,Project_Size
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/5/2018,1,1
3/6/2018,1,1
3/6/2018,1,1
3/6/2018,1,1
3/6/2018,1,1
3/6/2018,7500000,4000
3/7/2018,2200000,18000
3/7/2018,2200000,18000
3/7/2018,1,1
3/7/2018,1,1
3/7/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/8/2018,1,1
3/12/2018,1,1
3/12/2018,1,1
3/13/2018,1,1
3/13/2018,1,1
3/13/2018,1,1
3/13/2018,1,1
3/13/2018,1,1
3/13/2018,1,1
3/13/2018,90,80
3/17/2018,2000000,25000
3/17/2018,2000000,25000
3/18/2018,1,1
3/18/2018,1,1
3/18/2018,1,1
3/18/2018,1,1
3/18/2018,1,1
3/18/2018,1,1
3/18/2018,1,1
3/19/2018,1,1
3/19/2018,1,1
3/19/2018,1,1
3/19/2018,1,1
3/19/2018,1,1
3/19/2018,1,1
3/19/2018,1,1
